StageTitle,"Auto Merging"
Story Background/Content/Story,"Story 10"
Stage Quest/1,"Open the 'Commit History' window."
Stage Quest/2,"Create and Switch to the newly created branch.
Then update the 'Commit History' window."
Stage Quest/3,"Add a new feature on the 'new-article' branch."
Stage Quest/4,"Create a new commit.
Then update the 'Commit History' window."
Stage Quest/5,"Switch to 'master' branch.
Then update the 'Commit History' window."
Stage Quest/6,"Merge the 'new-design' branch.
Then update the 'Commit History' window."
Stage Quest/7,"Merge the 'new-article' branch.
Then update the 'Commit History' window."
Stage Quest/8,"Delete the 'new-design', and the 'new-article' branch.
Then update the 'Commit History' window."
DefaultData/Commit data/commitMessageList/0,"Add Article：Git 的三種合併模式"
DefaultData/Commit data/commitMessageList/1,"Add articles in webpage."
DefaultData/Commit data/commitMessageList/2,"Update Webpage."
DefaultData/Commit data/commitMessageReasonList/0,"Commit message analysis:
這個提交消息清晰且具有意義
它明確告訴開發者添加了哪篇文章"
DefaultData/Commit data/commitMessageReasonList/1,"Commit message analysis:
這個提交消息雖然提到了新增文章
但沒有提供新增文章的細節"
DefaultData/Commit data/commitMessageReasonList/2,"Commit message analysis:
訊息過於模糊！
沒有提供足夠的信息"
CommitHistoryData/File data/ListContent/0,"網頁基礎框架\a標題：Git 的三種合併模式"
CommitHistoryData/File data/ListContent/1,"字體：正黑體\n文字顏色：橙色"
CommitHistoryData/File data/ListFileName/0,"My_Homepage.html"
CommitHistoryData/File data/ListFileName/1,"Web_Stylesheet.css"
CommitHistoryData/File data/ListLocation/0,"My_Homepage.html"
CommitHistoryData/File data/ListLocation/1,"Web_Stylesheet.css"
CommitHistoryData/CommitMessage/1,"初始化網頁專案"
CommitHistoryData/CommitMessage/2,"新增文字字體和顏色至 '網頁樣式.css'"
AutoMergeData/Quest 7/ListContent/0,"網頁基礎框架\n標題： Git 的三種合併模式"
DefaultData/BranchName data/branchNameList/0,"new-article"
DefaultData/BranchName data/branchNameList/1,"new-article-in-my-website"
DefaultData/BranchName data/branchNameList/2,"new article"
DefaultData/BranchName data/branchNameReasonList/0,"Naming branch analysis:
Good: Using lowercase letters and hyphens (-)."
DefaultData/BranchName data/branchNameReasonList/1,"Naming branch analysis:
Good: Using lowercase letters and hyphens (-).
Bad：分支命名有些冗長"
DefaultData/BranchName data/branchNameReasonList/2,"Naming branch analysis:
Good: Using lowercase letters.
Bad: Using space to divide words."
