StageTitle,"Keeping Branches in Sync"
Story Background/Content/Story,"Story 14"
Stage Quest/1,"Open the 'Commit History' window."
Stage Quest/2,"Switch to the 'update-readme' branch and synchronize content from the remote branch"
Stage Quest/3,"Update the 'Commit History' window."
Stage Quest/4,"View all branches in the remote repository."
Stage Quest/5,"Fetch the remote 'member-branch' into the local repository.
Tjen update the 'Commit History' window."
CommitHistoryData/File data/ListContent/1/v1,"# Shopping Website Project"
CommitHistoryData/File data/ListContent/1/v2,"# Shopping Website Project\nReason for creating the website."
CommitHistoryData/File data/ListLocation/0,"shopping-website"
CommitHistoryData/File data/ListLocation/1,"shopping-website\README.md"
CommitHistoryData/File data/ListLocation/2,"shopping-website\.git"
CommitHistoryData/File data/ListFileName/0,"shopping-website"
CommitHistoryData/File data/ListFileName/1,"README.md"
CommitHistoryData/CommitMessage/1,"Added README file,"
CommitHistoryData/CommitMessage/2,"Added README content: Reason for creating the website."
NPCCommitData/Player1/ListContent/1,"# Shopping Website Project\nReason for creating the website\nWebsite operation instructions"
NPCCommitData/NPC1/ListContent/1,"# Shopping Website Project\nWeb system architecture\nWebsite screenshots"
NPCCommitData/NPC1,"Team Member A"
NPCCommitData/CommitMessage/Player1,"Added README content: Operation instructions"
NPCCommitData/CommitMessage/NPC1,"Added README content: Web system structure and screenshots."
