StageCategoryButton/Basic/CategoryText,"主題關卡: Git 的基礎"
StageCategoryButton/Branch/CategoryText,"主題關卡: 分支管理"
StageCategoryButton/Remote/CategoryText,"主題關卡: 遠端管理"
StageCategoryButton/Common/StageCompletionText,"關卡完成度："
PlayerGameRecordsWindow/Title,"遊 戲 記 錄"
PlayerGameRecordsWindow/PlayerTitle,"Git 學習者資料"
PlayerGameRecordsWindow/PlayerContentTitle,"學習者名稱："
PlayerGameRecordsWindow/MainRecordsTitle,"遊戲歷程"
PlayerGameRecordsWindow/MainRecordsContent/GameProgress,"遊戲完成度"
PlayerGameRecordsWindow/MainRecordsContent/TotalScore,"遊戲總得分"
PlayerGameRecordsWindow/MainRecordsContent/TotalTime,"遊戲總時長"
PlayerGameRecordsWindow/MainRecordsContent/TotalStar,"總獲得星數"
PlayerGameRecordsWindow/OtherRecordsTitle,"其 他 記 錄"
PlayerGameRecordsWindow/OtherRecordsContent/ClearStageTimes,"通過關卡次數"
PlayerGameRecordsWindow/OtherRecordsContent/GameManualUsedTimes,"查看遊戲手冊次數"
PlayerGameRecordsWindow/OtherRecordsContent/CommandExecutedTimes,"指令執行次數"
PlayerGameRecordsWindow/OtherRecordsContent/Perfect,"達成目標次數（完美）"
PlayerGameRecordsWindow/OtherRecordsContent/Good,"達成目標次數（普通）"
PlayerGameRecordsWindow/OtherRecordsContent/Hint,"達成目標次數（提示）"
PlayerGameRecordsWindow/OtherRecordsContent/Answer,"達成目標次數（解答）"
TooltipMessage/MainToolBar/PlayerGameRecordsButton,"玩家遊戲記錄"
TooltipMessage/MainToolBar/ReturnToTitleScreenButton,"回到主選單"
TooltipMessage/MainToolBar/BackToStageCategoryButton,"返回"
StageSelection/Common/StageTitle,"關卡："
StageSelection/Stage01 - Game Introduction/StageButtonPopup,"遊戲介紹"
StageSelection/Stage02 - Version Control and Git/StageButtonPopup,"版本控制與 Git 的介紹"
StageSelection/Stage03 - Create Local Repository/StageButtonPopup,"創建您的第一個本地儲存庫"
StageSelection/Stage04 - Basic Staging Area/StageButtonPopup,"Git 暫存區域的基礎操作"
StageSelection/Stage05 - Advanced Staging Area/StageButtonPopup,"Git 暫存區域的進階操作"
StageSelection/Stage06 - Creating First Version/StageButtonPopup,"創建您的第一個 Git 專案版本"
StageSelection/Stage07 - Switching Project Versions/StageButtonPopup,"切換專案版本"
StageSelection/Stage08 - Git Branching Basics/StageButtonPopup,"Git 分支基礎教學"
StageSelection/Stage09 - Fast-Forward Merging/StageButtonPopup,"快進合併分支"
StageSelection/Stage10 - Auto Merging/StageButtonPopup,"自動合併分支"
StageSelection/Stage11 - Merge Conflicts/StageButtonPopup,"解決合併衝突"
StageSelection/Stage12 - Create Remote Repository/StageButtonPopup,"創建您的第一個遠端儲存庫"
StageSelection/Stage13 - Push to Remote Branches/StageButtonPopup,"創建與推送遠端分支"
StageSelection/Stage14 - Keep Branches in Sync/StageButtonPopup,"保持分支同步"
StageSelection/Stage15 - Preparation for Merging/StageButtonPopup,"合併前的確認"
StageSelection/Stage16 - Creating a Pull Request/StageButtonPopup,"創建 Pull Request"
StageSelection/Stage17 - Review and Merge Pull Requests/StageButtonPopup,"審核與合併 Pull Request"
