StageTitle,"保持分支同步"
Story Background/Content/Story,"故事 14"
Stage Quest/1,"開啟 '提交記錄' 視窗"
Stage Quest/2,"切換到 'update-readme' 分支並同步遠端分支的內容"
Stage Quest/3,"更新 '提交記錄' 視窗"
Stage Quest/4,"查看遠端儲存庫中的所有分支"
Stage Quest/5,"獲取遠端分支 'member-branch' 到本地存儲庫中
並更新 '提交記錄' 視窗"
CommitHistoryData/File data/ListContent/1/v1,"# 購物網站專案"
CommitHistoryData/File data/ListContent/1/v2,"# 購物網站專案\n建立網站原因"
CommitHistoryData/File data/ListLocation/0,"shopping-website"
CommitHistoryData/File data/ListLocation/1,"shopping-website\README.md"
CommitHistoryData/File data/ListLocation/2,"shopping-website\.git"
CommitHistoryData/File data/ListFileName/0,"shopping-website"
CommitHistoryData/File data/ListFileName/1,"README.md"
CommitHistoryData/CommitMessage/1,"增加 README 檔案"
CommitHistoryData/CommitMessage/2,"新增 README 內容：建立網站原因"
NPCCommitData/Player1/ListContent/1,"# 購物網站專案\n建立網站原因\n網頁操作說明"
NPCCommitData/NPC1/ListContent/1,"# 購物網站專案\n網頁系統架構\n網頁截圖"
NPCCommitData/NPC1,"團隊成員 A"
NPCCommitData/CommitMessage/Player1,"新增 README 內容：操作說明"
NPCCommitData/CommitMessage/NPC1,"新增 README 內容：網頁系統架構和截圖"
